COD_EMPRESA	HOJA CB	Numero Fila	BODEGA	CODIGO	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Ult Buffer	Buff Ant Estacion	Buff Estacional	Ingresos	Egresos	Calendario Estacional	Inicio Per	Fin Per	DUMMY_FIELD
1.90334E+11	CTJE.xlsm	12	BP-MATRIZ	06.213.0001	43333			243 - 	243-T24-F12			200	Clasificación		1	=	1				0	0						43187	43313	
1.90334E+11	CTJE.xlsm	13	BP-MATRIZ	06.212.0001	43333		42919	243 - 	243-T24-F12			150	Clasificación		1	=	1				450	270						43249	43375	
1.90334E+11	CTJE.xlsm	14	BP-MATRIZ	06.207.0004	43333		43151	243 - 	243-T24-F12			500	Clasificación		1	=	1				800	800						43249	43375	
1.90334E+11	CTJE.xlsm	15	BP-MATRIZ	06.201.0001	43333		43161	243 - 	243-T24-F12			100	Clasificación		1	=	1				150	160						43187	43313	
1.90334E+11	CTJE.xlsm	16	BP-MATRIZ	06.199.0001	43333		43186	243 - 	243-T24-F12			200	Clasificación		1	=	1				600	500						43187	43313	
1.90334E+11	CTJE.xlsm	17	BP-MATRIZ	06.198.0001	43305		43305	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				300	220						43249	43403	
1.90334E+11	CTJE.xlsm	18	BP-MATRIZ	06.193.0004	43333	42779	43116	243 - 	243-T24-F12			100	Clasificación		1	=	1				260	260						43249	43375	
1.90334E+11	CTJE.xlsm	19	BP-MATRIZ	06.193.0003	43333		43080	243 - 	243-T24-F12			1	Clasificación		1	=	1				170	170						43249	43375	
1.90334E+11	CTJE.xlsm	20	BP-MATRIZ	06.193.0001	43333	42846	43151	243 - 	243-T24-F12			100	Clasificación		1	=	1				230	180						43249	43375	
1.90334E+11	CTJE.xlsm	21	BP-MATRIZ	06.189.0001	43333		43070	243 - 	243-T24-F12			300	Clasificación		1	=	1				400	600						43286	43412	
1.90334E+11	CTJE.xlsm	22	BP-MATRIZ	06.188.0005	43333		43080	243 - 	243-T24-F12			300	Clasificación		1	=	1				850	850						43249	43375	
1.90334E+11	CTJE.xlsm	23	BP-MATRIZ	06.183.0003	43305		43305	3552 - RI	3552 - T21-F8			100	Clasificación		1	=	1				500	150						43249	43403	
1.90334E+11	CTJE.xlsm	24	BP-MATRIZ	06.183.0002	43333		43081	243 - 	243-T24-F12			300	Clasificación		1	=	1				600	600						43249	43375	
1.90334E+11	CTJE.xlsm	25	BP-MATRIZ	06.183.0001	43305		43080	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				220	150						43249	43403	
1.90334E+11	CTJE.xlsm	26	BP-MATRIZ	06.182.0001	43333	42779	42962	243 - 	243-T24-F12			100	Clasificación		1	=	1				180	180						43249	43375	
1.90334E+11	CTJE.xlsm	27	BP-MATRIZ	06.178.0004	43333	42846	42821	243 - 	243-T24-F12			150	Clasificación		1	=	1				0	0						43249	43375	
1.90334E+11	CTJE.xlsm	28	BP-MATRIZ	06.178.0003	43333		43180	243 - 	243-T24-F12			300	Clasificación		1	=	1				800	800						43249	43375	
1.90334E+11	CTJE.xlsm	29	BP-MATRIZ	06.176.0012	43333		43116	243 - 	243-T24-F12			130	Clasificación		1	=	1				380	380						43249	43375	
